Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
03-Aug-15,1080,1091.5,1069,1079.05,1080.783336,126860,4868,137108174,22.5,-0.95
31-Jul-15,1079,1081.2,1061.6,1078.05,1071.647481,143459,6395,153737476,19.6,-0.95
30-Jul-15,1090,1090,1059.75,1069.1,1078.111551,111411,4802,120113486,30.25,-20.9
29-Jul-15,1068,1092.25,1065,1085.2,1082.331257,130349,5239,141080797,27.25,17.2
28-Jul-15,1077,1077,1055.5,1063.5,1066.277953,126104,4867,134461915,21.5,-13.5
27-Jul-15,1089,1089,1060.5,1065,1069.645123,221136,6408,236537044,28.5,-24
24-Jul-15,1100,1106.2,1082.4,1089.35,1090.775236,123690,6291,134917989,23.8,-10.65
23-Jul-15,1103,1117.7,1091,1098.85,1105.491006,184063,8066,203479991,26.7,-4.15
22-Jul-15,1105,1111.45,1075.75,1102.6,1100.156507,304363,11970,334846935,35.7,-2.4
21-Jul-15,1022.2,1127.75,1022.2,1112.65,1099.859542,1417565,52759,1559122391,105.55,90.45
20-Jul-15,1003.25,1010,987.25,1001.9,998.9848567,173740,6504,173563629,22.75,-1.35
17-Jul-15,989.9,1003.95,989,1002,998.5962875,198520,5046,198241335,14.95,12.1
16-Jul-15,985.5,991.2,979.1,987.8,986.7561079,98765,3741,97456967,12.1,2.3
15-Jul-15,971.9,985.2,969,982.65,980.4084391,135014,5381,132368865,16.2,10.75
14-Jul-15,955,973.6,945.35,970.1,960.44953,268169,7912,257562790,28.25,15.1
13-Jul-15,940,954.45,934.1,950.05,944.6203841,199391,6540,188348803,20.35,10.05
10-Jul-15,950,951.85,932.55,937,941.2388345,154023,7338,144972429,19.3,-13
09-Jul-15,960,966.95,934,937.7,942.9078428,325585,15038,306996650,32.95,-22.3
08-Jul-15,985,985,955,957.2,962.8057175,335285,12533,322814315,30,-27.8
07-Jul-15,990,990.75,980.05,982.05,985.9005027,86525,3317,85305041,10.7,-7.95
06-Jul-15,980,988.25,975.5,983.5,981.1505673,137500,5563,134908203,12.75,3.5
03-Jul-15,987,993,983.55,989.95,989.6578993,97141,4150,96136358,9.45,2.95
02-Jul-15,1000,1000.4,985.15,988.15,989.6329252,123814,5240,122530411,15.25,-11.85
01-Jul-15,990,1000,986.15,997.7,994.9010925,92268,3922,91797534,13.85,7.7
30-Jun-15,993,993,983.1,985.35,987.2345419,130902,4604,129230976,9.9,-7.65
29-Jun-15,988,999,980,990.25,989.1599279,214778,6250,212449791,19,2.25
26-Jun-15,995,1011.75,995,1006.1,1006.425015,177156,4876,178294230,16.75,11.1
25-Jun-15,1000,1003,987.85,991.15,995.4988025,187888,7375,187042279,15.15,-8.85
24-Jun-15,1010,1013.4,991.6,995.1,1001.671022,151837,6050,152090723,21.8,-14.9
23-Jun-15,1025,1028,999.1,1001.15,1005.116606,219714,7317,220838190,28.9,-23.85
22-Jun-15,1009,1028.8,997.5,1024.4,1010.997859,189597,6460,191682161,31.3,15.4
19-Jun-15,1005,1010.3,992.5,996.75,1001.406049,105608,4277,105756490,17.8,-8.25
18-Jun-15,1000.25,1005.95,996,1000.9,1001.365804,98293,3690,98427249,9.95,0.65
